Timestamp,NIFTY_LTP,ATM_Strike,Expiry,Option,LTP,IV,Delta,Gamma,Theta,Vega,Rho,OI,OI_Change,Volume
2025-12-29 11:00:51,26003.35,26000,2025-12-30,CE,59.3,8.54,0.5506,0.003100,-21.1325,5.8710,0.4718,24146550,12972250,132644250
2025-12-29 11:00:51,26003.35,26000,2025-12-30,PE,43.5,8.64,-0.4499,0.003100,-21.3623,5.8720,-0.4236,25806075,10850650,235632825
2025-12-29 11:00:57,26004.0,26000,2025-12-30,CE,59.25,8.53,0.5510,0.003100,-21.0926,5.8701,0.4736,24146550,12972250,132683625
2025-12-29 11:00:57,26004.0,26000,2025-12-30,PE,43.55,8.67,-0.4498,0.003100,-21.4375,5.8716,-0.4220,25806075,10850650,235707375
2025-12-29 11:01:02,26001.85,26000,2025-12-30,CE,58.9,8.58,0.5504,0.003100,-21.2101,5.8710,0.4675,24146550,12972250,132739125
2025-12-29 11:01:02,26001.85,26000,2025-12-30,PE,43.85,8.65,-0.4500,0.003100,-21.4017,5.8719,-0.4277,25806075,10850650,235839525
2025-12-29 11:01:07,26001.2,26000,2025-12-30,CE,58.6,8.82,0.5424,0.003000,-21.8640,5.8842,0.4652,24146550,12972250,132770175
2025-12-29 11:01:07,26001.2,26000,2025-12-30,PE,44.1,8.45,-0.4558,0.003200,-20.9461,5.8814,-0.4290,25806075,10850650,236083725
2025-12-29 11:01:13,26002.65,26000,2025-12-30,CE,58.75,8.80,0.5425,0.003000,-21.8263,5.8840,0.4691,24146550,12972250,132818175
2025-12-29 11:01:13,26002.65,26000,2025-12-30,PE,43.95,8.48,-0.4560,0.003200,-21.0231,5.8815,-0.4250,25806075,10850650,236275125
2025-12-29 11:01:18,26003.3,26000,2025-12-30,CE,59.2,8.73,0.5428,0.003100,-21.6356,5.8833,0.4710,24146550,12972250,132878475
2025-12-29 11:01:18,26003.3,26000,2025-12-30,PE,43.6,8.58,-0.4564,0.003100,-21.2531,5.8821,-0.4235,25806075,10850650,236395425
2025-12-29 11:01:24,26004.2,26000,2025-12-30,CE,59.1,8.54,0.5506,0.003100,-21.1355,5.8701,0.4740,24146550,12972250,132930750
2025-12-29 11:01:24,26004.2,26000,2025-12-30,PE,43.75,8.67,-0.4501,0.003100,-21.4420,5.8714,-0.4213,25806075,10850650,236474625
2025-12-29 11:01:29,26003.35,26000,2025-12-30,CE,58.85,8.58,0.5501,0.003100,-21.2147,5.8709,0.4715,24146550,12972250,133059000
2025-12-29 11:01:29,26003.35,26000,2025-12-30,PE,44.05,8.65,-0.4503,0.003100,-21.4062,5.8717,-0.4235,25806075,10850650,236693025
2025-12-29 11:01:35,26003.7,26000,2025-12-30,CE,58.6,8.71,0.5438,0.003100,-21.5938,5.8813,0.4720,24146550,12972250,133117575
2025-12-29 11:01:35,26003.7,26000,2025-12-30,PE,44.25,8.54,-0.4554,0.003100,-21.1729,5.8800,-0.4222,25806075,10850650,236816775
2025-12-29 11:01:40,26003.95,26000,2025-12-30,CE,58.6,8.68,0.5446,0.003100,-21.5142,5.8800,0.4728,24146550,12972250,133149525
2025-12-29 11:01:40,26003.95,26000,2025-12-30,PE,44.15,8.61,-0.4550,0.003100,-21.3228,5.8793,-0.4217,25806075,10850650,237058050
2025-12-29 11:01:46,26004.05,26000,2025-12-30,CE,58.95,8.68,0.5455,0.003100,-21.5093,5.8783,0.4730,24281125,13106825,133178550
2025-12-29 11:01:46,26004.05,26000,2025-12-30,PE,43.75,8.59,-0.4540,0.003100,-21.2796,5.8776,-0.4214,26108175,11152750,237179475
2025-12-29 11:01:51,26003.5,26000,2025-12-30,CE,59.2,8.73,0.5425,0.003100,-21.6405,5.8829,0.4714,24281125,13106825,133236825
2025-12-29 11:01:51,26003.5,26000,2025-12-30,PE,43.4,8.53,-0.4565,0.003100,-21.1432,5.8814,-0.4227,26108175,11152750,237353100
2025-12-29 11:01:57,26004.6,26000,2025-12-30,CE,59.1,8.70,0.5476,0.003100,-21.5360,5.8745,0.4744,24281125,13106825,133341375
2025-12-29 11:01:57,26004.6,26000,2025-12-30,PE,43.9,8.54,-0.4516,0.003100,-21.1529,5.8730,-0.4197,26108175,11152750,237728550
2025-12-29 11:02:02,26004.65,26000,2025-12-30,CE,59.2,8.64,0.5479,0.003100,-21.3833,5.8738,0.4747,24281125,13106825,133416000
2025-12-29 11:02:02,26004.65,26000,2025-12-30,PE,43.5,8.62,-0.4520,0.003100,-21.3450,5.8736,-0.4198,26108175,11152750,237947100
2025-12-29 11:02:07,26004.95,26000,2025-12-30,CE,58.95,8.61,0.5484,0.003100,-21.3053,5.8728,0.4756,24281125,13106825,133486875
2025-12-29 11:02:07,26004.95,26000,2025-12-30,PE,43.5,8.64,-0.4518,0.003100,-21.3819,5.8731,-0.4190,26108175,11152750,238182825
2025-12-29 11:02:13,26005.15,26000,2025-12-30,CE,58.15,8.39,0.5575,0.003200,-20.7152,5.8552,0.4769,24281125,13106825,133687950
2025-12-29 11:02:13,26005.15,26000,2025-12-30,PE,44.15,8.79,-0.4450,0.003000,-21.7138,5.8604,-0.4190,26108175,11152750,238400250
2025-12-29 11:02:18,26002.85,26000,2025-12-30,CE,58.25,8.38,0.5567,0.003200,-20.6842,5.8568,0.4705,24281125,13106825,133746825
2025-12-29 11:02:18,26002.85,26000,2025-12-30,PE,44.1,8.62,-0.4536,0.003100,-21.3565,5.8756,-0.4246,26108175,11152750,238634025
2025-12-29 11:02:24,26002.35,26000,2025-12-30,CE,58.35,8.54,0.5478,0.003100,-21.1599,5.8732,0.4686,24281125,13106825,133839975
2025-12-29 11:02:24,26002.35,26000,2025-12-30,PE,44.05,8.67,-0.4529,0.003100,-21.4663,5.8744,-0.4261,26108175,11152750,238742850
2025-12-29 11:02:29,26001.4,26000,2025-12-30,CE,58.15,8.59,0.5457,0.003100,-21.2865,5.8766,0.4659,24281125,13106825,133928775
2025-12-29 11:02:29,26001.4,26000,2025-12-30,PE,44.4,8.64,-0.4546,0.003100,-21.4014,5.8770,-0.4285,26108175,11152750,238905675
2025-12-29 11:02:35,26000.35,26000,2025-12-30,CE,57.1,8.38,0.5506,0.003200,-20.7274,5.8679,0.4635,24281125,13106825,134353050
2025-12-29 11:02:35,26000.35,26000,2025-12-30,PE,45.4,8.80,-0.4517,0.003000,-21.8006,5.8722,-0.4317,26108175,11152750,239471925
2025-12-29 11:02:40,26000.45,26000,2025-12-30,CE,57.1,8.51,0.5420,0.003100,-21.1191,5.8821,0.4634,24281125,13106825,134562825
2025-12-29 11:02:40,26000.45,26000,2025-12-30,PE,45.45,8.73,-0.4590,0.003100,-21.6545,5.8836,-0.4312,26108175,11152750,239758575
2025-12-29 11:02:46,25998.8,26000,2025-12-30,CE,56.0,8.61,0.5381,0.003100,-21.3666,5.8874,0.4587,24281125,13106825,135061050
2025-12-29 11:02:46,25998.8,26000,2025-12-30,PE,46.05,8.64,-0.4620,0.003100,-21.4430,5.8876,-0.4355,26108175,11152750,240245700
2025-12-29 11:02:51,25998.9,26000,2025-12-30,CE,56.25,8.65,0.5324,0.003100,-21.5069,5.8944,0.4589,24281125,13106825,135329850
2025-12-29 11:02:51,25998.9,26000,2025-12-30,PE,46.25,8.58,-0.4674,0.003100,-21.3160,5.8941,-0.4351,26108175,11152750,240644100
2025-12-29 11:02:56,25999.15,26000,2025-12-30,CE,56.75,8.53,0.5388,0.003100,-21.1755,5.8861,0.4598,24281125,13106825,135593250
2025-12-29 11:02:56,25999.15,26000,2025-12-30,PE,45.7,8.74,-0.4621,0.003100,-21.7105,5.8874,-0.4347,26108175,11152750,241117575
2025-12-29 11:03:02,25998.0,26000,2025-12-30,CE,55.45,8.47,0.5403,0.003200,-21.0168,5.8838,0.4567,24281125,13106825,135775350
2025-12-29 11:03:02,25998.0,26000,2025-12-30,PE,46.55,8.76,-0.4610,0.003100,-21.7431,5.8857,-0.4378,26108175,11152750,241473525
2025-12-29 11:03:07,25998.55,26000,2025-12-30,CE,55.85,8.39,0.5375,0.003200,-20.8417,5.8875,0.4583,24281125,13106825,136050900
2025-12-29 11:03:07,25998.55,26000,2025-12-30,PE,46.6,8.83,-0.4643,0.003000,-21.9496,5.8899,-0.4364,26108175,11152750,241899525
2025-12-29 11:03:13,25999.15,26000,2025-12-30,CE,56.0,8.42,0.5373,0.003200,-20.9186,5.8876,0.4599,24281125,13106825,136164750
2025-12-29 11:03:13,25999.15,26000,2025-12-30,PE,46.25,8.82,-0.4642,0.003000,-21.9119,5.8897,-0.4347,26108175,11152750,242140950
2025-12-29 11:03:18,25996.4,26000,2025-12-30,CE,55.85,8.47,0.5378,0.003200,-21.0308,5.8868,0.4522,24281125,13106825,136286550
2025-12-29 11:03:18,25996.4,26000,2025-12-30,PE,46.55,8.76,-0.4634,0.003100,-21.7568,5.8885,-0.4420,26108175,11152750,242400825
2025-12-29 11:03:24,25995.25,26000,2025-12-30,CE,52.75,8.51,0.5326,0.003200,-21.1682,5.8932,0.4490,24281125,13106825,137069025
